Vardas              Pavarde             Galutinis (Vid.)    
Vardas4049          Pavarde4049         8.00                
Vardas405           Pavarde405          5.40                
Vardas4050          Pavarde4050         7.00                
Vardas4051          Pavarde4051         6.60                
Vardas4053          Pavarde4053         8.40                
Vardas4055          Pavarde4055         5.80                
Vardas4057          Pavarde4057         6.20                
Vardas4058          Pavarde4058         5.60                
Vardas4060          Pavarde4060         7.20                
Vardas4062          Pavarde4062         5.00                
Vardas4064          Pavarde4064         6.80                
Vardas4067          Pavarde4067         6.00                
Vardas4069          Pavarde4069         7.00                
Vardas407           Pavarde407          5.80                
Vardas4074          Pavarde4074         5.60                
Vardas4075          Pavarde4075         8.00                
Vardas4076          Pavarde4076         7.80                
Vardas4077          Pavarde4077         6.00                
Vardas4079          Pavarde4079         5.60                
Vardas4080          Pavarde4080         7.00                
